iter	Passed	Remaining
0	1	1550
1	2	1476
2	4	1425
3	5	1377
4	6	1350
5	8	1338
6	9	1313
7	10	1306
8	11	1309
9	13	1304
10	14	1300
11	15	1305
12	17	1303
13	18	1309
14	19	1309
15	21	1303
16	22	1296
17	23	1294
18	25	1291
19	26	1291
20	27	1294
21	29	1292
22	30	1292
23	31	1291
24	33	1293
25	34	1299
26	36	1303
27	37	1304
28	38	1299
29	40	1299
30	41	1296
31	42	1294
32	44	1292
33	45	1288
34	46	1286
35	47	1284
36	49	1281
37	50	1277
38	51	1275
39	53	1273
40	54	1272
41	55	1271
42	56	1267
43	58	1265
44	59	1263
45	60	1260
46	62	1257
47	63	1255
48	64	1253
49	65	1250
50	67	1247
51	68	1244
52	69	1243
53	70	1243
54	72	1243
55	73	1242
56	74	1239
57	76	1238
58	77	1238
59	78	1235
60	80	1232
61	81	1231
62	82	1230
63	84	1230
64	85	1229
65	86	1225
66	87	1223
67	89	1222
68	90	1220
69	91	1218
70	92	1215
71	94	1213
72	95	1210
73	96	1207
74	97	1204
75	98	1203
76	100	1200
77	101	1197
78	102	1194
79	103	1192
80	104	1190
81	106	1188
82	107	1187
83	108	1185
84	109	1183
85	111	1181
86	112	1179
87	113	1178
88	114	1176
89	116	1173
90	117	1172
91	118	1168
92	119	1166
93	120	1164
94	121	1161
95	123	1159
96	124	1158
97	125	1156
98	126	1154
99	128	1153
100	129	1151
101	130	1149
102	131	1148
103	133	1146
104	134	1145
105	135	1143
106	136	1142
107	138	1140
108	139	1139
109	140	1137
110	141	1135
111	143	1134
112	144	1132
113	145	1130
114	146	1129
115	147	1127
116	149	1125
117	150	1123
118	151	1121
119	152	1119
120	153	1117
121	155	1116
122	156	1114
123	157	1113
124	158	1112
125	160	1110
126	161	1108
127	162	1106
128	163	1105
129	164	1103
130	166	1102
131	167	1100
132	168	1099
133	169	1096
134	171	1095
135	172	1094
136	173	1092
137	174	1091
138	175	1089
139	177	1089
140	178	1087
141	179	1085
142	180	1084
143	182	1083
144	183	1082
145	184	1080
146	185	1078
147	187	1077
148	188	1076
149	189	1074
150	190	1073
151	192	1071
152	193	1070
153	194	1068
154	195	1067
155	196	1062
156	197	1061
157	198	1059
158	200	1058
159	201	1056
160	202	1055
161	203	1053
162	204	1052
163	206	1050
164	207	1049
165	208	1047
166	209	1045
167	210	1044
168	212	1042
169	213	1040
170	214	1039
171	215	1038
172	217	1037
173	218	1036
174	219	1034
175	220	1033
176	221	1031
177	223	1030
178	224	1028
179	225	1027
180	226	1025
181	227	1024
182	229	1023
183	230	1021
184	231	1020
185	232	1018
186	233	1017
187	235	1016
188	236	1014
189	237	1013
190	238	1011
191	240	1010
192	241	1009
193	242	1008
194	243	1006
195	245	1005
196	246	1004
197	247	1002
198	248	1002
199	250	1000
200	251	999
201	252	998
202	253	996
203	255	995
204	256	993
205	257	992
206	258	991
207	260	990
208	261	988
209	262	987
210	263	985
211	264	984
212	266	983
213	267	982
214	268	981
215	270	980
216	271	979
217	272	978
218	273	977
219	275	975
220	276	974
221	277	973
222	279	972
223	280	970
224	281	969
225	282	968
226	284	967
227	285	966
228	286	965
229	288	964
230	289	964
231	290	963
232	292	962
233	293	960
234	294	959
235	296	958
236	297	957
237	298	956
