iter	Passed	Remaining
0	10	10460
1	14	7036
2	17	5712
3	25	6362
4	28	5737
5	42	7004
6	46	6607
7	49	6114
8	52	5769
9	56	5564
10	58	5250
11	60	4994
12	62	4770
13	65	4582
14	67	4426
15	69	4293
16	72	4163
17	74	4043
18	76	3926
19	78	3866
20	81	3801
21	84	3753
22	87	3697
23	89	3642
24	92	3589
25	94	3542
26	97	3523
27	100	3496
28	103	3460
29	105	3425
30	108	3396
31	111	3369
32	114	3346
33	116	3310
34	119	3284
35	121	3258
36	123	3223
37	126	3196
38	129	3184
39	132	3175
40	135	3160
41	138	3150
42	141	3144
43	143	3114
44	145	3088
45	147	3064
46	149	3040
47	152	3019
48	154	3005
49	157	2998
50	159	2977
51	162	2960
52	164	2944
53	167	2931
54	170	2920
55	172	2914
56	174	2893
57	177	2874
58	179	2860
59	189	2974
60	193	2971
61	195	2962
62	198	2945
63	201	2950
64	207	2985
65	210	2980
66	213	2973
67	216	2965
68	220	2973
69	222	2958
70	224	2941
71	226	2925
72	229	2912
73	232	2905
74	235	2899
75	237	2884
76	239	2872
77	242	2861
78	244	2845
79	250	2882
80	253	2880
81	256	2869
82	259	2869
83	267	2915
84	270	2909
85	272	2896
86	274	2881
87	277	2872
88	281	2876
89	283	2862
90	285	2849
91	288	2843
92	292	2854
93	297	2863
94	300	2858
95	302	2848
96	304	2834
97	307	2830
98	310	2822
99	312	2808
100	314	2796
101	316	2785
102	319	2780
103	325	2803
104	327	2792
105	329	2781
106	332	2774
107	334	2765
108	340	2780
109	342	2771
110	344	2759
111	346	2747
112	348	2737
113	351	2731
114	354	2726
115	356	2717
116	358	2708
117	361	2701
118	364	2697
119	367	2696
120	370	2689
121	372	2680
122	374	2671
123	376	2661
124	379	2653
125	381	2645
126	384	2640
127	386	2632
128	389	2628
129	393	2634
130	399	2647
131	402	2645
132	406	2646
133	409	2644
134	412	2644
135	415	2641
136	418	2634
137	420	2626
138	423	2622
139	429	2635
140	431	2630
141	434	2623
142	436	2615
143	439	2611
144	442	2610
145	446	2609
146	449	2607
147	454	2618
148	459	2625
149	462	2620
150	465	2618
151	468	2614
152	471	2611
153	475	2610
154	478	2606
155	480	2601
156	483	2597
157	489	2609
158	492	2607
159	495	2603
160	498	2597
161	502	2596
162	506	2600
163	509	2595
164	512	2593
165	515	2588
166	519	2592
167	523	2594
168	527	2594
169	530	2588
170	533	2587
171	536	2583
172	538	2575
173	540	2567
174	543	2560
175	545	2555
176	550	2559
177	552	2552
178	554	2545
179	557	2540
180	560	2534
181	563	2530
182	565	2524
183	567	2517
184	569	2510
185	572	2503
186	574	2497
187	576	2491
188	579	2486
189	581	2480
190	584	2475
191	586	2470
192	589	2464
193	592	2460
194	595	2457
195	598	2453
196	600	2449
197	603	2443
198	606	2439
199	609	2436
200	611	2431
201	614	2425
202	616	2419
203	618	2413
204	621	2409
205	623	2403
206	626	2398
207	628	2393
208	630	2387
209	633	2381
210	635	2377
211	638	2373
212	640	2367
213	643	2362
214	646	2358
215	650	2359
216	654	2362
217	657	2360
218	660	2356
219	663	2351
220	670	2362
221	672	2357
222	674	2351
223	677	2346
224	682	2352
225	687	2356
226	691	2355
227	699	2368
228	704	2371
229	707	2369
230	715	2382
231	719	2382
232	722	2377
233	728	2384
234	730	2378
235	734	2378
236	737	2373
237	743	2378
238	745	2374
239	748	2369
240	750	2364
241	752	2358
242	758	2363
243	761	2358
244	763	2352
245	765	2346
246	767	2340
247	772	2341
248	775	2339
249	777	2332
250	779	2327
251	782	2321
252	787	2325
253	790	2321
254	793	2317
255	795	2311
256	797	2305
257	803	2311
258	807	2309
259	810	2306
260	813	2303
261	817	2303
262	819	2297
263	822	2293
264	824	2287
265	828	2285
266	831	2282
267	835	2281
268	839	2281
269	842	2279
270	846	2277
271	848	2272
272	852	2270
273	857	2270
274	859	2267
275	862	2262
276	876	2287
277	878	2281
278	880	2276
279	883	2270
280	885	2265
281	889	2263
282	893	2263
283	896	2259
284	898	2253
285	900	2247
286	903	2243
287	907	2242
288	910	2239
289	913	2235
290	915	2231
291	918	2228
292	921	2224
293	924	2219
294	929	2220
295	931	2215
296	933	2210
297	937	2208
298	939	2203
299	942	2199
300	945	2195
301	948	2191
302	951	2188
303	953	2184
304	956	2180
305	958	2174
306	960	2168
307	963	2164
308	965	2160
309	967	2154
310	970	2149
311	973	2146
312	976	2142
313	978	2138
314	981	2135
315	984	2130
316	987	2126
317	989	2122
318	992	2119
319	995	2115
320	998	2111
321	1001	2108
322	1004	2105
323	1008	2104
324	1011	2100
325	1013	2096
326	1016	2092
327	1019	2088
328	1023	2088
329	1026	2084
330	1029	2080
331	1032	2076
332	1036	2077
333	1041	2075
334	1043	2072
335	1046	2068
336	1049	2064
337	1052	2061
338	1055	2057
339	1057	2053
340	1060	2049
341	1063	2046
342	1068	2046
343	1071	2043
344	1074	2039
345	1077	2037
346	1083	2038
347	1085	2033
348	1087	2029
349	1089	2024
350	1092	2019
351	1094	2015
352	1099	2014
353	1102	2011
354	1105	2008
355	1110	2009
356	1114	2006
357	1117	2003
358	1119	1999
359	1121	1993
360	1123	1989
361	1128	1988
362	1130	1984
363	1133	1979
364	1135	1975
365	1137	1970
366	1141	1968
367	1143	1963
368	1145	1959
369	1148	1955
370	1150	1951
371	1153	1947
372	1156	1944
373	1159	1940
374	1161	1935
375	1163	1931
376	1165	1926
377	1167	1921
378	1172	1920
379	1175	1918
380	1178	1914
381	1180	1909
382	1182	1904
383	1185	1901
384	1187	1897
385	1189	1892
386	1192	1888
387	1195	1885
388	1200	1884
389	1203	1881
390	1205	1878
391	1208	1874
392	1210	1870
393	1214	1867
394	1217	1864
395	1219	1859
396	1221	1855
397	1224	1851
398	1227	1849
399	1231	1846
400	1234	1843
401	1236	1839
402	1239	1835
403	1241	1831
404	1244	1827
405	1246	1823
406	1248	1819
407	1251	1815
408	1254	1812
409	1257	1810
410	1261	1808
411	1263	1803
412	1265	1799
413	1267	1794
414	1270	1790
415	1272	1786
416	1275	1782
417	1277	1778
418	1279	1774
419	1282	1771
420	1284	1767
421	1287	1763
422	1290	1760
423	1293	1757
424	1297	1755
425	1302	1755
426	1307	1753
427	1310	1751
428	1313	1748
429	1317	1746
430	1320	1742
431	1322	1738
432	1325	1735
433	1327	1731
434	1329	1727
435	1332	1724
436	1335	1720
437	1338	1716
438	1344	1717
439	1347	1714
440	1351	1712
441	1353	1708
442	1355	1704
443	1358	1701
444	1360	1697
445	1364	1694
446	1366	1690
447	1368	1686
448	1371	1683
449	1373	1679
450	1376	1675
451	1379	1672
452	1381	1668
453	1384	1665
454	1389	1664
455	1392	1661
456	1396	1659
457	1400	1657
458	1402	1653
459	1405	1650
460	1409	1648
461	1412	1644
462	1415	1641
463	1418	1638
464	1421	1635
465	1425	1633
466	1428	1630
467	1430	1626
468	1434	1624
469	1440	1624
470	1443	1621
471	1446	1617
472	1448	1614
473	1453	1613
474	1456	1610
475	1459	1606
476	1463	1604
477	1465	1600
478	1469	1598
479	1472	1594
480	1474	1590
481	1476	1586
482	1478	1582
483	1481	1579
484	1484	1575
485	1486	1571
486	1489	1568
487	1492	1566
488	1496	1563
489	1501	1562
490	1504	1559
491	1507	1556
492	1509	1552
493	1512	1549
494	1515	1545
495	1517	1541
496	1519	1537
497	1521	1533
498	1523	1529
499	1526	1526
500	1528	1522
501	1531	1518
502	1533	1515
503	1537	1513
504	1541	1510
505	1545	1508
506	1547	1504
507	1549	1500
508	1551	1496
509	1553	1492
510	1555	1488
511	1558	1485
512	1560	1481
513	1563	1477
514	1565	1474
515	1567	1470
516	1569	1466
517	1572	1463
518	1575	1459
519	1577	1455
520	1579	1452
521	1581	1448
522	1584	1444
523	1587	1441
524	1589	1437
525	1591	1434
526	1595	1431
527	1599	1429
528	1603	1427
529	1607	1425
530	1610	1422
531	1613	1419
532	1618	1418
533	1620	1414
534	1623	1411
535	1626	1407
536	1628	1404
537	1631	1400
538	1634	1397
539	1636	1393
540	1638	1390
541	1643	1388
542	1646	1385
543	1650	1383
544	1653	1380
545	1656	1377
546	1658	1373
547	1663	1371
548	1666	1368
549	1669	1365
550	1671	1362
551	1674	1358
552	1677	1356
553	1680	1352
554	1683	1350
555	1686	1346
556	1690	1344
557	1697	1344
558	1700	1341
559	1703	1338
560	1706	1335
561	1710	1332
562	1713	1330
563	1716	1326
564	1718	1323
565	1720	1319
566	1722	1315
567	1727	1314
568	1730	1310
569	1732	1306
570	1734	1303
571	1736	1299
572	1739	1296
573	1742	1293
574	1744	1289
575	1746	1285
576	1748	1282
577	1750	1278
578	1752	1274
579	1755	1271
580	1758	1267
581	1760	1264
582	1762	1260
583	1764	1257
584	1768	1254
585	1772	1251
586	1774	1248
587	1777	1245
588	1779	1242
589	1784	1239
590	1789	1238
591	1791	1234
592	1794	1231
593	1796	1227
594	1800	1225
595	1803	1222
596	1806	1219
597	1809	1216
598	1813	1213
599	1816	1211
600	1819	1207
601	1822	1204
602	1824	1201
603	1828	1198
604	1831	1195
605	1833	1192
606	1836	1189
607	1838	1185
608	1842	1182
609	1845	1179
610	1847	1176
611	1850	1173
612	1853	1170
613	1856	1167
614	1859	1163
615	1861	1160
616	1864	1157
617	1866	1153
618	1868	1150
619	1871	1147
620	1874	1143
621	1876	1140
622	1879	1137
623	1881	1133
624	1884	1130
625	1886	1127
626	1890	1124
627	1893	1121
628	1895	1118
629	1898	1114
630	1902	1112
631	1907	1110
632	1911	1107
633	1914	1105
634	1917	1102
635	1921	1099
636	1928	1098
637	1931	1095
638	1934	1092
639	1936	1089
640	1939	1086
641	1943	1083
642	1949	1082
643	1958	1082
644	1960	1079
645	1964	1076
646	1968	1074
647	1970	1070
648	1973	1067
649	1975	1063
650	1978	1060
651	1982	1058
652	1986	1055
653	1989	1052
654	1991	1048
655	1993	1045
656	1996	1042
657	1999	1039
658	2001	1035
659	2003	1032
660	2006	1029
661	2012	1027
662	2015	1024
663	2017	1020
664	2019	1017
665	2022	1014
666	2025	1011
667	2028	1008
668	2030	1004
669	2032	1001
670	2034	997
671	2037	994
672	2040	991
673	2042	987
674	2044	984
675	2047	981
676	2049	977
677	2052	974
678	2055	971
679	2058	968
680	2062	966
681	2065	963
682	2069	960
683	2072	957
684	2074	954
685	2077	950
686	2079	947
687	2081	944
688	2085	941
689	2088	938
690	2091	935
691	2093	931
692	2096	928
693	2099	925
694	2104	923
695	2106	920
696	2109	916
697	2111	913
